FlightID,Airline,Origin,Destination,DelayMinutes,Distance_km,DayOfWeek,Cancelled,Passengers
FL001,SkyHigh,Mumbai,Delhi,12,1400,Monday,No,180
FL002,SkyHigh,Delhi,Bangalore,45,2150,Tuesday,No,210
FL003,SkyHigh,Chennai,Kolkata,8,1660,Wednesday,No,165
FL004,SkyHigh,Hyderabad,Mumbai,62,710,Thursday,No,195
FL005,SkyHigh,Pune,Delhi,30,1400,Friday,Yes,0
FL006,SkyHigh,Bangalore,Kolkata,18,1870,Saturday,No,220
FL007,SkyHigh,Delhi,Chennai,55,2180,Sunday,No,175
FL008,SkyHigh,Mumbai,Kolkata,40,2050,Monday,No,200
FL009,SkyHigh,Delhi,Hyderabad,22,1260,Tuesday,No,185
FL010,SkyHigh,Bangalore,Mumbai,70,980,Wednesday,Yes,0
FL011,AirMax,Mumbai,Delhi,5,1400,Thursday,No,190
FL012,AirMax,Delhi,Bangalore,38,2150,Friday,No,215
FL013,AirMax,Chennai,Mumbai,15,1330,Saturday,No,170
FL014,AirMax,Kolkata,Delhi,85,1500,Sunday,No,205
FL015,AirMax,Hyderabad,Bangalore,28,570,Monday,No,180
FL016,AirMax,Mumbai,Chennai,50,1330,Tuesday,No,195
FL017,AirMax,Delhi,Kolkata,10,1500,Wednesday,No,165
FL018,AirMax,Bangalore,Hyderabad,42,570,Thursday,Yes,0
FL019,AirMax,Chennai,Delhi,68,2180,Friday,No,210
FL020,AirMax,Kolkata,Mumbai,20,2050,Saturday,No,185
FL021,FlyStar,Mumbai,Bangalore,35,980,Sunday,No,175
FL022,FlyStar,Delhi,Mumbai,15,1400,Monday,No,220
FL023,FlyStar,Bangalore,Chennai,55,345,Tuesday,No,155
FL024,FlyStar,Kolkata,Hyderabad,90,1600,Wednesday,Yes,0
FL025,FlyStar,Hyderabad,Delhi,25,1260,Thursday,No,195
FL026,FlyStar,Mumbai,Kolkata,60,2050,Friday,No,200
FL027,FlyStar,Chennai,Bangalore,12,345,Saturday,No,160
FL028,FlyStar,Delhi,Kolkata,48,1500,Sunday,No,185
FL029,FlyStar,Bangalore,Delhi,72,2150,Monday,No,210
FL030,FlyStar,Kolkata,Chennai,30,1660,Tuesday,No,175
