OrderID,CustomerID,Category,Product,Price,Quantity,Rating,PaymentMethod,Country,Returned
ORD001,C001,Electronics,Laptop,75000,1,4.5,CreditCard,India,No
ORD002,C002,Clothing,Jeans,2500,2,3.8,UPI,India,No
ORD003,C003,Books,Novel,450,3,4.9,DebitCard,USA,No
ORD004,C004,Electronics,Phone,35000,1,4.2,Wallet,UK,Yes
ORD005,C005,Home,Lamp,1800,2,3.5,CreditCard,Germany,No
ORD006,C006,Clothing,Shirt,1200,4,4.0,UPI,India,No
ORD007,C007,Books,Textbook,890,2,4.7,NetBanking,India,No
ORD008,C008,Electronics,Tablet,28000,1,3.9,CreditCard,USA,Yes
ORD009,C009,Home,Curtains,3200,3,4.1,Wallet,UK,No
ORD010,C010,Clothing,Dress,3500,1,4.6,DebitCard,Germany,No
ORD011,C011,Electronics,Earbuds,5500,2,4.3,UPI,India,No
ORD012,C012,Books,Biography,600,1,4.8,CreditCard,USA,No
ORD013,C013,Home,Vase,950,2,3.2,NetBanking,India,Yes
ORD014,C014,Clothing,Jacket,6500,1,4.4,UPI,India,No
ORD015,C015,Electronics,Monitor,22000,1,4.0,CreditCard,UK,No
ORD016,C016,Books,Self_Help,550,4,4.6,Wallet,Germany,No
ORD017,C017,Home,Pillow,1100,6,3.7,DebitCard,India,No
ORD018,C018,Clothing,Saree,4500,2,4.2,UPI,India,Yes
ORD019,C019,Electronics,Camera,45000,1,4.5,CreditCard,USA,No
ORD020,C020,Books,History,720,2,4.4,NetBanking,UK,No
ORD021,C021,Home,Clock,2200,1,4.1,UPI,India,No
ORD022,C022,Clothing,Shorts,1800,3,3.9,CreditCard,Germany,No
ORD023,C023,Electronics,Keyboard,3200,2,4.3,Wallet,India,No
ORD024,C024,Books,Comics,300,5,4.7,DebitCard,USA,No
ORD025,C025,Home,Rug,5500,1,3.8,UPI,India,Yes
ORD026,C026,Clothing,Blazer,8000,1,4.5,CreditCard,UK,No
ORD027,C027,Electronics,Speaker,8500,1,4.2,NetBanking,India,No
ORD028,C028,Books,Cookbook,480,2,4.6,UPI,Germany,No
ORD029,C029,Home,Sofa,32000,1,4.0,CreditCard,India,No
ORD030,C030,Clothing,Kurta,2200,3,4.3,DebitCard,India,No
ORD031,C031,Electronics,Laptop,68000,1,4.6,CreditCard,USA,No
ORD032,C032,Books,Novel,520,2,4.8,Wallet,UK,No
ORD033,C033,Home,Frame,850,4,3.6,UPI,India,Yes
ORD034,C034,Clothing,Leggings,1500,2,4.1,CreditCard,Germany,No
ORD035,C035,Electronics,Phone,42000,1,4.4,NetBanking,India,Yes
ORD036,C036,Books,Science,780,3,4.5,UPI,India,No
ORD037,C037,Home,Bedsheet,2800,2,4.2,CreditCard,USA,No
ORD038,C038,Clothing,Tshirt,900,5,3.8,DebitCard,India,No
ORD039,C039,Electronics,Charger,1200,3,4.0,Wallet,UK,No
ORD040,C040,Books,Finance,950,1,4.7,UPI,India,No
