SaleID,Product,Category,UnitsSold,Revenue,Discount_pct,Month,Region,Complaints
S001,Widget_A,Electronics,120,240000,10,January,North,2
S002,Gadget_X,Electronics,85,297500,5,January,South,1
S003,Shirt_Pro,Clothing,200,100000,15,February,East,0
S004,Widget_B,Electronics,60,180000,8,February,West,3
S005,Trouser_X,Clothing,175,87500,20,March,North,0
S006,Snack_A,Food,500,50000,0,March,South,1
S007,Widget_A,Electronics,95,190000,10,April,East,2
S008,Lamp_X,Home,140,280000,12,April,West,1
S009,Gadget_Y,Electronics,70,245000,5,May,North,4
S010,Shirt_Pro,Clothing,210,105000,15,May,South,0
S011,Snack_B,Food,600,72000,0,June,East,0
S012,Widget_B,Electronics,55,165000,8,June,West,2
S013,Curtain_Z,Home,90,135000,10,July,North,1
S014,Widget_A,Electronics,130,260000,10,July,South,3
S015,Trouser_X,Clothing,160,80000,20,August,East,0
S016,Gadget_X,Electronics,100,350000,5,August,West,2
S017,Snack_A,Food,450,45000,0,September,North,1
S018,Lamp_X,Home,115,230000,12,September,South,0
S019,Widget_B,Electronics,80,240000,8,October,East,1
S020,Shirt_Pro,Clothing,195,97500,15,October,West,0
S021,Snack_B,Food,550,66000,0,November,North,2
S022,Gadget_Y,Electronics,65,227500,5,November,South,3
S023,Widget_A,Electronics,110,220000,10,December,East,1
S024,Curtain_Z,Home,75,112500,10,December,West,0
S025,Trouser_X,Clothing,180,90000,20,January,North,1
S026,Gadget_X,Electronics,90,315000,5,February,South,2
S027,Snack_A,Food,480,48000,0,March,East,0
S028,Widget_B,Electronics,50,150000,8,April,West,4
S029,Lamp_X,Home,125,250000,12,May,North,1
S030,Shirt_Pro,Clothing,220,110000,15,June,South,0
